x1	x2	x3	x4	
3.845899924640e-002	1.984800025820e-002	3.669200092550e-002	4.952400177720e-002
-4.400299862030e-003	-9.647600352760e-003	1.020400039850e-002	-6.089999806140e-003
2.933900104840e-003	-6.919700186700e-003	-6.112100090830e-003	-2.126700058580e-002
5.757600069050e-003	1.796800084410e-002	-6.963599938900e-003	1.913099922240e-002
4.884600173680e-003	2.641900070010e-002	2.881300076840e-002	2.804199978710e-002
1.319800037890e-002	5.978900007900e-003	1.019200030710e-002	-3.638199996200e-004
-1.037099957470e-002	-1.597999944350e-003	-1.957999914880e-002	-2.756999991830e-002
-6.795499939470e-003	-2.744599990550e-002	-8.981799706820e-003	-2.332299947740e-002
-1.869300031100e-003	-2.736200112850e-003	-3.910399973390e-002	-1.498899981380e-002
5.657900124790e-003	-1.863100007180e-002	-1.703700050710e-002	1.464699977080e-003
-1.431799959390e-002	-5.302499979730e-003	-2.624900080260e-003	1.415800023820e-002
-3.482399880890e-002	-2.963900007310e-002	-1.692499965430e-002	-3.376099839810e-002
3.279899945480e-003	1.310500036930e-002	-2.709599956870e-002	-1.050500012930e-002
2.850900031630e-002	4.460100084540e-002	2.943800017240e-002	3.863700106740e-002
-2.782999910410e-002	-2.641599997880e-002	-2.944600023330e-002	-5.168199911710e-002
-3.677299944680e-003	1.121699996290e-002	-3.017700044440e-003	1.860900036990e-002
4.723099991680e-002	3.153999894860e-002	5.879199877380e-002	5.542900040750e-002
-9.579800069330e-003	3.947500139470e-003	1.888000033800e-002	3.360700095070e-003
1.471799984570e-002	2.073499932890e-002	5.437400192020e-003	1.256800023840e-003
7.819299586120e-003	3.062099963430e-002	3.415900096300e-002	4.555999860170e-002
-2.019299939270e-002	-1.321300026030e-002	-1.312899962070e-002	-3.055799938740e-002
-3.121200017630e-002	-2.912800014020e-002	-2.666799910370e-002	-4.267999902370e-002
2.787400037050e-002	3.433100134130e-002	5.063800141220e-002	5.972100049260e-002
3.213100135330e-002	-3.362900111820e-003	-7.240099832420e-003	4.734199959780e-003
7.005900144580e-003	-3.090099897240e-003	8.101999759670e-003	4.264499992130e-003
-4.417399875820e-003	7.719799876210e-003	-1.171999983490e-002	-3.256599977610e-002
4.717899952080e-003	2.104399912060e-002	1.618099957700e-002	2.478200010960e-002
-3.429700061680e-002	-9.285699576140e-003	-4.550499841570e-002	-3.246499970560e-002
-1.018300000580e-002	-8.195500122380e-004	-1.735300011930e-002	-6.301599740980e-002
-3.083900082860e-003	-1.683299988510e-002	-2.169300056990e-002	8.388400077820e-003
-8.518300019200e-003	-8.227099664510e-003	2.063100039960e-002	8.794699795540e-003
-1.320600043980e-002	2.038599923250e-003	-1.689000055190e-002	-3.271400055380e-005
-5.000599846240e-002	-1.494100037960e-002	-1.845999993380e-002	-2.166900038720e-002
-1.402499992400e-002	2.992100082340e-002	1.630599983040e-002	2.914099954070e-003
-3.319500014190e-003	2.988599985840e-002	1.238299999390e-002	-4.095000214870e-003
5.934200063350e-002	4.031100124120e-002	3.261400014160e-002	2.117200009520e-002
8.415600284930e-003	9.554100222890e-003	-8.675400167700e-003	-1.172799989580e-002
-5.049999803300e-003	5.008699838070e-003	-2.426899969580e-003	7.228000089530e-003
-3.306699916720e-002	-1.899800077080e-002	-2.330599911510e-002	-5.080299824480e-002
-1.942599937320e-002	3.502700012180e-003	-2.090400084850e-002	-1.673099957410e-002
8.717300370340e-003	-1.063400041310e-002	-2.438700012860e-002	-7.210699841380e-003
-1.844600029290e-002	-4.296499770130e-003	-1.581900008020e-002	-2.726699970660e-002
4.547699913380e-002	3.149199858310e-002	4.983900114890e-002	4.965500161050e-002
5.937200039630e-002	4.491500183940e-002	7.515700161460e-002	1.466600000860e-001
2.312299981710e-002	3.877799957990e-002	1.658600009980e-002	3.235799819230e-002
-6.864400114860e-003	-6.022299826150e-002	-5.213899910450e-002	-5.716900154950e-002
3.415300045160e-003	1.194899994880e-002	1.561000011860e-002	2.233500033620e-002
3.144500032070e-002	-1.281399978320e-003	-6.558299995960e-003	-1.543099991980e-002
1.095699984580e-002	-4.141100123520e-002	-2.383700013160e-002	-3.201600164180e-002
2.794699976220e-003	-3.162499982860e-003	-8.440300007350e-004	-2.331600058820e-003
-2.360700070860e-002	-8.156799711290e-003	-2.538299886510e-003	6.856900174170e-003
-2.175500057640e-002	5.960300099100e-003	-3.175799967720e-003	-2.116500027480e-002
-1.915599964560e-002	-2.255699969830e-002	-1.556800026450e-002	-4.942699894310e-002
2.979799918830e-002	2.773999981580e-002	9.202700108290e-002	6.897500157360e-002
-1.121500041340e-002	-3.494200110440e-002	4.318899940700e-003	1.482000015680e-002
4.801000002770e-003	-2.333600074050e-002	-2.333300001920e-002	-1.035299990330e-002
7.280100137000e-003	7.527399808170e-003	1.895499974490e-002	1.794400066140e-002
2.850499935450e-002	1.850300002840e-003	1.593999937180e-002	-2.169400081040e-002
-1.034499984230e-002	-1.662299968300e-002	-5.533999949690e-002	-2.567500062290e-002
1.076999958600e-002	1.411700039170e-003	1.220699958500e-002	-2.298099920150e-002
-1.497900020330e-002	-8.019899949430e-003	-3.344999998810e-002	-2.515199966730e-002
1.880799978970e-002	5.700699985030e-002	7.416400313380e-002	1.654700026850e-003
-1.052000001070e-002	-1.518500037490e-002	-1.263100001960e-002	-3.370699938390e-003
8.106599561870e-003	-2.882800064980e-003	-3.078999929130e-002	-3.861600160600e-002
4.047799855470e-003	-2.575499936940e-002	-2.541299909350e-002	-3.684199973940e-002
8.342399960380e-004	-2.432099916040e-002	-1.609599962830e-002	6.744499783960e-003
-4.786399949810e-004	-1.323099993170e-002	-1.351800002160e-002	1.560800010340e-003
-2.710799919440e-003	1.310400012880e-002	1.423500012610e-002	1.443199999630e-002
2.671699970960e-002	1.770499907430e-002	1.022899989040e-002	3.055500052870e-002
-2.736499998720e-003	-1.297300029550e-002	-1.488099992280e-002	-1.322000008080e-002
4.636000096800e-002	2.800800092520e-002	6.643699854610e-002	3.542099893090e-002
-6.787400227040e-003	-6.482500117270e-003	-1.110199955290e-003	2.837799955160e-003
-2.909299917520e-002	-7.020699791610e-003	-4.461500048640e-002	-5.746899917720e-002
8.829699829220e-003	-1.897500082850e-002	2.331399917600e-002	-2.477000001820e-003
1.680199988190e-002	1.143599953500e-002	1.612300053240e-002	-1.840900070970e-002
9.375900030140e-003	1.504900027070e-002	1.239699963480e-002	1.051800046120e-002
-1.390899997200e-003	8.770800195630e-003	1.794300042090e-002	2.053200080990e-002
-1.937099965290e-003	1.313600037250e-002	3.187699941920e-003	-1.848099986090e-003
-7.146299816670e-003	1.283499971030e-002	1.013099960980e-002	-1.171800028530e-002
1.049499958750e-003	-9.081499651070e-003	-1.335799973460e-002	-1.099800039080e-002
1.363900024440e-002	1.194399967790e-002	1.265399996190e-002	5.945399869230e-003
2.952799946070e-002	5.212999880310e-003	-2.105999924240e-002	4.925899952650e-002
-1.056400034580e-002	-1.492699957450e-003	-7.145499810580e-003	-1.978100091220e-002
4.374899901450e-003	-9.905399754640e-003	-2.376300049950e-003	1.435099984520e-003
-8.046399801970e-003	4.664499778300e-003	-6.289599929000e-003	-1.679700054230e-002
1.063099969180e-002	-6.861399859190e-003	-9.473900310700e-003	5.405600182710e-003
-3.959900140760e-002	-4.566000029440e-002	-3.153499960900e-002	-2.312999963760e-002
2.196099981670e-002	1.191399991510e-002	2.932799980040e-002	3.466400131580e-002
-1.991900056600e-002	2.076199976730e-003	8.653400072940e-006	1.032599946480e-003
-5.462000146510e-002	-3.101000003520e-002	-6.440699845550e-002	-7.749299705030e-002
3.376499935980e-002	1.267999969420e-002	3.661399940030e-003	2.436899952590e-002
3.289300075270e-004	2.672200091180e-003	2.358300052580e-002	2.775800041850e-002
-4.094599932430e-002	-1.977599971000e-002	-3.033000044520e-002	-3.630999848250e-002
-6.783899851140e-003	4.484000150110e-003	1.388499978930e-002	-1.533900015060e-002
2.487199939790e-002	8.883699774740e-003	1.551000052130e-003	1.100600045170e-002
3.810700029130e-002	2.685900032520e-002	5.147700011730e-002	7.749100029470e-002
4.629499837760e-002	2.206199988720e-002	1.070000045000e-002	2.312899939720e-002
8.990500122310e-003	1.984599977730e-002	1.575299911200e-002	6.711800117050e-003
2.215499989690e-003	1.802599988880e-003	5.382999777790e-003	2.617500023920e-003
1.107100024820e-002	6.318599916990e-004	1.388899981980e-002	8.066399954260e-003
